title,img_src,product_detail_link,original_price,discount_price,screen_size,resolution
SamsungSmart Tivi UA55AU7002,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_30655/smart-tivi-sams_main_677_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-samsung-4k-uhd-55-inch-ua55au7002,10999000,6999000,55 inch,4K
LGSmart Tivi 43UQ7050PSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_33963/smart-tivi-lg-4_main_649_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-lg-4k-43-inch-43uq7050psa,10900000,7990000,43 inch,4K
ToshibaGoogle Tivi 4K 50 inch 50C350LP,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_35415/google-tivi-tos_main_423_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-toshiba-4k-50-inch-50c350lp,12890000,8390000,50 inch,4K
LGSmart Tivi OLED48B4PSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34721/smart-tivi-lg-o_main_696_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-lg-oled-4k-48-inch-oled48b4psa,31900000,17990000,48 inch,4K
CoocaaSmart TV 32S3U+,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34611/smart-tv-hd-coo_main_165_450.png.webp,https://dienmaycholon.com/tivi/smart-tv-hd-coocaa-32-inch-32s3u,5990000,2399000,32 inch,HD
ToshibaGoogle Tivi 50M550LP,"data:image/png;base64,R0lGODlhAQABAJEAAAAAAP///////wAAACH5BAEAAAIALAAAAAABAAEAAAICTAEAOw==",https://dienmaycholon.com/tivi/google-tivi-qled-toshiba-4k-50-inch-50m550lp,12990000,7390000,50 inch,4K
LGSmart Tivi 65UT7350PSB,"data:image/png;base64,R0lGODlhAQABAJEAAAAAAP///////wAAACH5BAEAAAIALAAAAAABAAEAAAICTAEAOw==",https://dienmaycholon.com/tivi/smart-tivi-lg-4k-65-inch-65ut7350psb,16900000,7390000,65 inch,4K
CoocaaSmart TV 43S3U+,"data:image/png;base64,R0lGODlhAQABAJEAAAAAAP///////wAAACH5BAEAAAIALAAAAAABAAEAAAICTAEAOw==",https://dienmaycholon.com/tivi/smart-tv-full-hd-coocaa-43-inch-43s3u,7990000,3790000,43 inch,Full HD
LGSmart Tivi NanoCell 55NANO76SQA,"data:image/png;base64,R0lGODlhAQABAJEAAAAAAP///////wAAACH5BAEAAAIALAAAAAABAAEAAAICTAEAOw==",https://dienmaycholon.com/tivi/smart-nanocell-tivi-lg-4k-55-inch-55nano76sqa,22900000,3790000,55 inch,4K
ToshibaSmart Tivi 75C350NP,"data:image/png;base64,R0lGODlhAQABAJEAAAAAAP///////wAAACH5BAEAAAIALAAAAAABAAEAAAICTAEAOw==",https://dienmaycholon.com/tivi/smart-tivi-toshiba-4k-75-inch-75c350np,22990000,3790000,75 inch,4K
SamsungSmart Tivi UA75DU7700,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34281/smart-tivi-sams_main_217_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-samsung-4k-75-inch-ua75du7700,27400000,3790000,75 inch,4K
LGSmart Tivi 50UQ7050PSA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34892/smart-tivi-lg-4_main_666_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-lg-4k-50-inch-50uq7050psa,11900000,7990000,50 inch,4K
ToshibaSmart Tivi 43E31MP,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_35079/smart-tivi-tosh_main_838_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-toshiba-full-hd-43-inch-43e31mp,6490000,7990000,43 inch,Full HD
CasperSmart Tivi 32 Inch 32HG5200,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_24812/smart-tivi-casp_main_462_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-casper-32-inch-32hg5200,5990000,3490000,32 inch,HD
CasperAndroid Tivi QLED 4K 55 Inch 55QG8000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_29844/android-tivi-ql_main_180_450.png.webp,https://dienmaycholon.com/tivi/android-tivi-qled-4k-casper-55-inch-55qg8000,15990000,5999000,55 inch,4K
ToshibaSmart Tivi 55X9900LP,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_35552/smart-tivi-oled_main_53_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-oled-toshiba-4k-55-inch-55x9900lp,35990000,14990000,55 inch,4K
ToshibaSmart Tivi 65X9900LP,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_35553/smart-tivi-oled_main_275_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-oled-toshiba-4k-65-inch-65x9900lp,45990000,33990000,65 inch,4K
LGSmart Tivi NanoCell 65NANO76SQA,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_30460/smart-nanocell-_main_713_450.png.webp,https://dienmaycholon.com/tivi/smart-nanocell-tivi-lg-4k-65-inch-65nano76sqa,29900000,33990000,65 inch,4K
SonyGoogle Tivi XR-65X90L,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_32849/google-tivi-son_main_967_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-sony-4k-65-inch-xr65x90l,37000000,33990000,65 inch,4K
TCLGoogle Tivi 98C655,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34362/google-tivi-tcl_main_6_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-qled-4k-98-inch-98c655,69900000,33990000,98 inch,4K
SamsungSmart Tivi UA98DU9000,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34273/smart-tivi-4k-9_main_247_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-4k-98-inch-samsung-ua98du9000,98900000,33990000,98 inch,4K
SamsungSmart Tivi QA55Q60D,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34270/smart-tivi-qled_main_229_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qled-samsung-4k-55-inch-qa55q60d,17900000,1000,55 inch,4K
